entry,status,name,type,params
Version,+,1.8,,
Header,-,applications/services/cli/cli.h,,
Header,-,applications/services/cli/cli_vcp.h,,
Header,-,applications/services/gui/elements.h,,
Header,+,applications/services/gui/gui.h,,
Header,-,applications/services/gui/icon_i.h,,
Header,-,applications/services/gui/modules/button_menu.h,,
Header,-,applications/services/gui/modules/button_panel.h,,
Header,-,applications/services/gui/modules/byte_input.h,,
Header,-,applications/services/gui/modules/dialog_ex.h,,
Header,-,applications/services/gui/modules/empty_screen.h,,
Header,-,applications/services/gui/modules/file_browser.h,,
Header,-,applications/services/gui/modules/file_browser_worker.h,,
Header,-,applications/services/gui/modules/loading.h,,
Header,-,applications/services/gui/modules/menu.h,,
Header,-,applications/services/gui/modules/number_input.h,,
Header,-,applications/services/gui/modules/popup.h,,
Header,-,applications/services/gui/modules/submenu.h,,
Header,-,applications/services/gui/modules/text_box.h,,
Header,-,applications/services/gui/modules/text_input.h,,
Header,-,applications/services/gui/modules/validators.h,,
Header,-,applications/services/gui/modules/variable_item_list.h,,
Header,-,applications/services/gui/modules/widget.h,,
Header,-,applications/services/gui/modules/widget_elements/widget_element.h,,
Header,-,applications/services/gui/view_dispatcher.h,,
Header,-,applications/services/gui/view_holder.h,,
Header,-,applications/services/gui/view_stack.h,,
Header,-,lib/bit_lib/bit_lib.h,,
Header,-,lib/datetime/datetime.h,,
Header,-,lib/flipper_application/api_hashtable/api_hashtable.h,,
Header,-,lib/flipper_application/api_hashtable/compilesort.hpp,,
Header,-,lib/flipper_application/flipper_application.h,,
Header,-,lib/flipper_application/plugins/composite_resolver.h,,
Header,-,lib/flipper_application/plugins/plugin_manager.h,,
Header,-,lib/flipper_format/flipper_format.h,,
Header,-,lib/flipper_format/flipper_format_i.h,,
Header,-,lib/flipper_format/flipper_format_stream.h,,
Header,-,lib/mbedtls/include/mbedtls/des.h,,
Header,-,lib/mbedtls/include/mbedtls/ecdh.h,,
Header,-,lib/mbedtls/include/mbedtls/ecdsa.h,,
Header,-,lib/mbedtls/include/mbedtls/ecp.h,,
Header,-,lib/mbedtls/include/mbedtls/md.h,,
Header,-,lib/mbedtls/include/mbedtls/md5.h,,
Header,-,lib/mbedtls/include/mbedtls/sha1.h,,
Header,-,lib/mbedtls/include/mbedtls/sha256.h,,
Header,-,lib/mjs/mjs_array_buf_public.h,,
Header,-,lib/mjs/mjs_array_public.h,,
Header,-,lib/mjs/mjs_core_public.h,,
Header,-,lib/mjs/mjs_exec_public.h,,
Header,-,lib/mjs/mjs_object_public.h,,
Header,-,lib/mjs/mjs_primitive_public.h,,
Header,-,lib/mjs/mjs_string_public.h,,
Header,-,lib/mjs/mjs_util_public.h,,
Header,-,lib/mlib/m-algo.h,,
Header,-,lib/mlib/m-array.h,,
Header,-,lib/mlib/m-bptree.h,,
Header,-,lib/mlib/m-core.h,,
Header,-,lib/mlib/m-deque.h,,
Header,-,lib/mlib/m-dict.h,,
Header,-,lib/mlib/m-list.h,,
Header,-,lib/mlib/m-rbtree.h,,
Header,-,lib/mlib/m-tuple.h,,
Header,-,lib/mlib/m-variant.h,,
Header,-,lib/nanopb/pb.h,,
Header,-,lib/nanopb/pb_decode.h,,
Header,-,lib/nanopb/pb_encode.h,,
Header,-,lib/one_wire/maxim_crc.h,,
Header,-,lib/one_wire/one_wire_host.h,,
Header,-,lib/one_wire/one_wire_slave.h,,
Header,-,lib/print/wrappers.h,,
Header,-,lib/toolbox/api_lock.h,,
Header,-,lib/toolbox/args.h,,
Header,-,lib/toolbox/bit_buffer.h,,
Header,-,lib/toolbox/compress.h,,
Header,-,lib/toolbox/crc32_calc.h,,
Header,-,lib/toolbox/dir_walk.h,,
Header,-,lib/toolbox/float_tools.h,,
Header,-,lib/toolbox/hex.h,,
Header,-,lib/toolbox/keys_dict.h,,
Header,-,lib/toolbox/manchester_decoder.h,,
Header,-,lib/toolbox/manchester_encoder.h,,
Header,-,lib/toolbox/md5_calc.h,,
Header,-,lib/toolbox/name_generator.h,,
Header,-,lib/toolbox/path.h,,
Header,-,lib/toolbox/pretty_format.h,,
Header,-,lib/toolbox/protocols/protocol_dict.h,,
Header,-,lib/toolbox/pulse_protocols/pulse_glue.h,,
Header,-,lib/toolbox/saved_struct.h,,
Header,-,lib/toolbox/simple_array.h,,
Header,-,lib/toolbox/stream/buffered_file_stream.h,,
Header,-,lib/toolbox/stream/file_stream.h,,
Header,-,lib/toolbox/stream/stream.h,,
Header,-,lib/toolbox/stream/string_stream.h,,
Header,-,lib/toolbox/tar/tar_archive.h,,
Header,-,lib/toolbox/value_index.h,,
Header,-,lib/toolbox/varint.h,,
Header,-,lib/toolbox/version.h,,
Function,-,SECURE_SystemCoreClockUpdate,uint32_t,
Function,-,SystemCoreClockUpdate,void,
Function,-,SystemInit,void,
Function,-,_Exit,void,int
Function,-,__assert,void,"const char*, int, const char*"
Function,-,__assert_func,void,"const char*, int, const char*, const char*"
Function,-,__eprintf,void,"const char*, const char*, unsigned int, const char*"
Function,-,__fpclassifyd,int,double
Function,-,__fpclassifyf,int,float
Function,-,__furi_crash_implementation,void,
Function,-,__furi_critical_enter,__FuriCriticalInfo,
Function,-,__furi_critical_exit,void,__FuriCriticalInfo
Function,-,__furi_halt_implementation,void,
Function,-,__getdelim,ssize_t,"char**, size_t*, int, FILE*"
Function,-,__getline,ssize_t,"char**, size_t*, FILE*"
Function,-,__isinfd,int,double
Function,-,__isinff,int,float
Function,-,__isnand,int,double
Function,-,__isnanf,int,float
Function,-,__itoa,char*,"int, char*, int"
Function,-,__locale_mb_cur_max,int,
Function,-,__retarget_lock_acquire,void,_LOCK_T
Function,-,__retarget_lock_acquire_recursive,void,_LOCK_T
Function,-,__retarget_lock_close,void,_LOCK_T
Function,-,__retarget_lock_close_recursive,void,_LOCK_T
Function,-,__retarget_lock_init,void,_LOCK_T*
Function,-,__retarget_lock_init_recursive,void,_LOCK_T*
Function,-,__retarget_lock_release,void,_LOCK_T
Function,-,__retarget_lock_release_recursive,void,_LOCK_T
